5.0,0.350
6.0,0.350
7.0,0.351
8.0,0.352
9.0,0.354
10.0,0.355
11.0,0.357
12.0,0.358
13.0,0.360
14.0,0.361
15.0,0.362
16.0,0.364
17.1,0.365
18.0,0.366
19.0,0.366
20.0,0.367
21.0,0.368
22.0,0.368
23.0,0.369
24.0,0.370
25.0,0.371
26.0,0.372
27.0,0.372
28.0,0.373
29.0,0.373
30.0,0.374
31.0,0.375
32.0,0.376
33.0,0.376
34.0,0.377
35.0,0.378
36.0,0.379
37.0,0.380
38.0,0.380
39.0,0.382
40.0,0.383
41.0,0.384
42.0,0.385
43.0,0.386
44.0,0.388
45.0,0.389
46.0,0.391
47.0,0.392
48.0,0.394
49.0,0.395
50.0,0.397
51.0,0.398
52.0,0.400
53.0,0.402
54.0,0.403
55.0,0.405
56.0,0.406
57.0,0.408
58.0,0.409
59.0,0.410
60.0,0.412
61.0,0.413
62.0,0.414
63.0,0.416
64.0,0.417
65.0,0.418
66.0,0.419
67.0,0.420
68.0,0.421
69.0,0.422
70.0,0.423
71.0,0.424
72.0,0.425
73.0,0.426
74.0,0.427
75.0,0.428
76.0,0.429
77.0,0.429
78.0,0.430
79.0,0.431
80.0,0.432
80.9,0.433
82.0,0.434
83.0,0.435
84.0,0.435
85.0,0.436
86.1,0.437
87.0,0.437
88.0,0.438
89.0,0.439
90.0,0.440
