5.0,-0.001
6.0,-0.001
7.0,-0.000
8.0,-0.000
9.0,-0.001
10.0,-0.000
11.0,0.000
12.0,0.001
13.0,0.001
14.0,0.001
15.0,0.001
16.0,0.001
17.1,0.001
18.0,0.001
19.0,0.001
20.0,0.002
21.0,0.002
22.0,0.002
23.0,0.002
24.0,0.002
25.0,0.002
26.0,0.003
27.0,0.003
28.0,0.003
29.0,0.003
30.0,0.003
31.0,0.003
32.0,0.004
33.0,0.004
34.0,0.004
35.0,0.004
36.0,0.004
37.0,0.005
38.0,0.005
39.0,0.005
40.1,0.005
41.0,0.005
42.0,0.005
43.0,0.006
44.0,0.006
45.0,0.006
46.0,0.006
47.0,0.006
48.0,0.007
49.0,0.007
50.0,0.007
51.0,0.008
52.0,0.008
53.0,0.008
54.0,0.008
55.0,0.009
56.0,0.009
57.0,0.009
58.0,0.009
59.0,0.010
60.0,0.010
61.0,0.010
62.0,0.010
63.0,0.010
64.0,0.011
65.0,0.011
66.0,0.012
67.0,0.012
68.0,0.012
69.0,0.012
70.0,0.013
71.0,0.013
72.0,0.014
73.0,0.014
74.0,0.014
75.0,0.015
76.0,0.015
77.0,0.015
78.0,0.016
79.0,0.016
80.0,0.017
81.0,0.017
82.0,0.017
83.0,0.018
84.1,0.018
85.1,0.019
86.0,0.019
87.0,0.020
88.0,0.020
89.0,0.020
90.0,0.021
